genre,baseline_f1,pca_f1,n_components_90,f1_diff
power-pop,0.4312431243124312,0.40258865614410705,9,-0.028654468168324176
kids,0.4305177111716621,0.43497161577900745,9,0.004453904607345349
punk-rock,0.43033509700176364,0.3676246132843268,9,-0.06271048371743687
ambient,0.4301255230125523,0.38610394055222585,8,-0.04402158246032645
electro,0.4297253634894992,0.36253927536353553,9,-0.06718608812596366
country,0.42931034482758623,0.3868582552941532,8,-0.042452089533433046
chicago-house,0.42857142857142855,0.38749666103455266,7,-0.04107476753687589
idm,0.42741208295761945,0.3775171715346068,10,-0.04989491142301267
honky-tonk,0.4245614035087719,0.3896201738962996,8,-0.03494122961247231
dancehall,0.4218600191754554,0.3931614629726758,9,-0.028698556202779613
anime,0.4182041820418204,0.41475638285004546,9,-0.0034477991917749584
party,0.4156769596199525,0.3990483754433102,8,-0.016628584176642314
songwriter,0.41527001862197394,0.38369274506066964,9,-0.0315772735613043
j-idol,0.41373801916932906,0.34555346270275283,9,-0.06818455646657623
brazil,0.41346153846153844,0.3403267242161924,9,-0.07313481424534601
singer-songwriter,0.41222707423580784,0.36277121806956475,9,-0.049455856166243095
latino,0.4106813996316759,0.35184754645507177,8,-0.05883385317660411
pagode,0.40744797371303393,0.37312398615555253,7,-0.034323987557481395
reggaeton,0.4072948328267477,0.3961385345749636,8,-0.011156298251784103
synth-pop,0.4068669527896996,0.37237127045180013,9,-0.03449568233789946
salsa,0.40298507462686567,0.3397958718548604,8,-0.06318920277200529
