genre,baseline_f1,pca_f1,pls_f1
pop-film,0.44263959390862945,0.4045702747081171,0.4463528619202811
sertanejo,0.44197952218430037,0.3689045861384766,0.39709402109434444
trip-hop,0.44149377593360994,0.41909599434748596,0.44646320763852687
edm,0.44025157232704404,0.37329380311665905,0.428979908979909
turkish,0.43993759750390016,0.4080384840062755,0.45895892725161025
grindcore,0.439873417721519,0.4067732267732268,0.44325423232771904
german,0.43947858472998136,0.40165571787443755,0.4212241805774387
psych-rock,0.4394506866416979,0.43088592686269955,0.44324624623880116
alternative,0.4383561643835616,0.4369085279544539,0.4525321917805317
goth,0.4382775119617225,0.42046945277639197,0.460502771111971
detroit-techno,0.4373522458628842,0.3663013135306188,0.4399013667641931
house,0.4372177055103884,0.39328842270616154,0.40934288343303554
grunge,0.43668993020937186,0.4023144597338145,0.4185136957128733
heavy-metal,0.43599493029150826,0.43199511533872437,0.4336102204149773
alt-rock,0.43584521384928715,0.4201619137520817,0.43947552110088833
ska,0.43539545810493346,0.37575652378025615,0.4165151697432938
opera,0.43453237410071943,0.4435573183867979,0.45329791130364433
dance,0.43373493975903615,0.4014913574106713,0.440498970615759
rock-n-roll,0.433264887063655,0.36742828402801103,0.4381076514683427
afrobeat,0.4328485885372113,0.42985014985014985,0.4545862745716011
electronic,0.432296047098402,0.40599457708113107,0.43178992302897184
punk,0.432258064516129,0.35194071838084706,0.4398899465947605
power-pop,0.4312431243124312,0.40258865614410705,0.41982195560015845
kids,0.4305177111716621,0.43497161577900745,0.4479156063556361
punk-rock,0.43033509700176364,0.3676246132843268,0.43092853289412164
ambient,0.4301255230125523,0.38610394055222585,0.43162192558637197
electro,0.4297253634894992,0.36253927536353553,0.41305665736688385
country,0.42931034482758623,0.3868582552941532,0.4233356279764432
chicago-house,0.42857142857142855,0.38749666103455266,0.44044525907346666
idm,0.42741208295761945,0.3775171715346068,0.44757879014876345
honky-tonk,0.4245614035087719,0.3896201738962996,0.39668353970402037
dancehall,0.4218600191754554,0.3931614629726758,0.41763435950427014
anime,0.4182041820418204,0.41475638285004546,0.425822710782393
party,0.4156769596199525,0.3990483754433102,0.4126222417037207
songwriter,0.41527001862197394,0.38369274506066964,0.40480657662577874
j-idol,0.41373801916932906,0.34555346270275283,0.41095894316595605
brazil,0.41346153846153844,0.3403267242161924,0.4076400531807039
singer-songwriter,0.41222707423580784,0.36277121806956475,0.3978038339759246
latino,0.4106813996316759,0.35184754645507177,0.40881521219549394
pagode,0.40744797371303393,0.37312398615555253,0.4177985943961187
reggaeton,0.4072948328267477,0.3961385345749636,0.40929824207860604
synth-pop,0.4068669527896996,0.37237127045180013,0.41190895759605156
salsa,0.40298507462686567,0.3397958718548604,0.3689830403764759
